What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Mac OS X,,El Capitan,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Earth and Related Environmental Sciences,2017-06-19 06:12:31,2017-06-19 06:16:44
Linux,,Linux Mint/ Ubuntu,,,,Git,,,,,,,Matlab,,Python,,,C++,,,,,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,,Comments in the source code,,Wiki,,,,,,,README files,,,Makefiles,,,,,,,GitHub,GitLab,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,2017-05-27 15:50:35,2017-05-27 15:56:24
Linux,,Ubuntu 16.04,,,,Git,,,,,,,,R,Python,,,,,,,,,"PHP, Java, JavaScript",No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,RST/Sphinx,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,2017-05-20 08:06:57,2017-05-20 08:50:40
Linux,,OpenSUSE 42.2 or Archlinux,,,,Git,,,,,,,,R,Python,,,,,,,,,Groovy/Java,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,GitHub,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,2017-05-20 08:23:47,2017-05-20 08:29:37
Linux,,Linux Mint 18,,,,Git,,,,,,,,,Python,,,C++,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,Doxygen,,,,,PDF,,,README files,,CMake,,,,,,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,2017-03-29 08:20:31,2017-03-29 08:31:21
Linux,,ubuntu 16.04 LTS,,,,Git,,,,,,,,,,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,,,,,"Read the Docs",,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,2017-03-28 13:51:34,2017-03-28 13:59:21
Windows,,10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Computer and Information Sciences,2017-03-24 18:58:20,2017-03-24 19:04:14
Mac OS X,,10.11.6 ,,,,Git,,,,,,,,,Python,,,,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,2017-03-24 12:09:04,2017-03-24 12:14:57
Windows,,Windows 10,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,2017-03-23 13:56:39,2017-03-23 14:21:06
Mac OS X,,10.11.6,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,2017-03-23 08:30:22,2017-03-23 08:39:19
Mac OS X,,10.10.5,,,,Git,,,,,,,Matlab,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Mathematics,2017-03-22 14:08:35,2017-03-22 14:12:54
Mac OS X,,10.11.6,,,,Git,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,2017-03-22 13:19:32,2017-03-22 13:27:35
Linux,,Ubuntu 15.10 or later,,,,Git,Mercurial,,,,,,,,Python,,,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Chemical Sciences,2017-03-22 08:49:28,2017-03-22 09:00:56
Linux,,opsenSuse,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,2017-03-21 17:35:43,2017-03-21 17:42:28
Mac OS X,,Sierra,,,,Git,,,,,,,,,,,,C++,,,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,Doxygen,,,"Read the Docs",,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,2017-03-21 12:36:22,2017-03-21 12:44:33
Mac OS X,,Mac OS Sierra 10.12.3,,,,Git,,,,,,,,,Python,,,,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,Yes,No but I know what at least one of them does,No documentation,Comments in the source code,,,,"Read the Docs",,,,,README files,,CMake,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Chemical Sciences,2017-03-21 09:27:25,2017-03-21 09:35:44
Linux,,"Ubuntu, 16.04",,,,Git,,,,,,,Matlab,,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Earth and Related Environmental Sciences,2017-03-21 08:32:39,2017-03-21 08:36:35
Linux,,Ubuntu,,,,Git,,,,,,,Matlab,,Python,,C,,,,Julia,,,,Yes,No but I know what it is,No but I know what it is,"Yes, I use either Travis or Jenkins or both",,Comments in the source code,,,RST/Sphinx,,,,,Markdown,README files,,,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",2017-03-21 08:32:18,2017-03-21 08:36:27
Windows,,Windows 7,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,2017-03-21 08:28:47,2017-03-21 08:33:57
Mac OS X,,newest,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,2017-03-21 08:27:12,2017-03-21 08:33:01
Mac OS X,,OS X El Capitain,,,,Git,,,,,,,,,Python,,C,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,,Comments in the source code,Doxygen,,,"Read the Docs",,,,,,,CMake,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Chemical Sciences,2017-03-21 08:18:15,2017-03-21 08:21:50
Linux,,Linux stallo-vnc-4.local 2.6.32-642.6.2.el6.x86_64 #1 SMP Wed Oct 26 06:52:09 UTC 2016 x86_64 GNU/Linux,,,,Git,,Subversion,,,,,Matlab,,,,,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,,,,,Makefiles,,,,,,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,2017-03-21 06:55:38,2017-03-21 07:08:51
Linux,,Ubuntu,,,,Git,,Subversion,CVS,,,,,,Python,,,C++,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,Comments in the source code,,Wiki,,,,PDF,,Markdown,,,CMake,Makefiles,,,,,,,GitHub,,,,,I am an expert,I do not know what most of these commands do,No and I don't know what it is,Earth and Related Environmental Sciences,2017-03-21 01:05:50,2017-03-21 01:20:46
